Movies,Director,Actors,Year
Final Solution,Rakesh Sharma,,2003
Footpath,Vikram Bhatt,"Aftab Shivdasani, Bipasha Basu, Emraan Hashmi, Rahul Dev, Irrfan Khan",2003
Fun2shh... Dudes in the 10th Century,Imtiaz Punjabi,"Gulshan Grover, Paresh Rawal, Farida Jalal",2003
Gangaajal,Prakash Jha,"Ajay Devgn, Gracy Singh, Ayub Khan",2003
Haasil,Tigmanshu Dhulia,"Jimmy Sheirgill, Irrfan Khan, Ashutosh Rana, Hrishita Bhatt, Sudhir Pandey",2003
Hawa,Guddu Dhanoa,"Tabu, Shahbaz Khan",2003
Hawayein,Ammtoje Mann,"Babbu Mann, Ammotje Mann",2003
Humein Tumse Pyar Ho Gaya Chupke Chupke,Pramod Mandloi,"Siddharth Dhawan, Shraddha Sharma, Kiran Kumar, Raza Murad, Shakti Kapoor, Mehmood Junior",2003
Hungama,Priyadarshan,"Akshaye Khanna, Rimi Sen, Aftab Shivdasani, Rajpal Yadav, Paresh Rawal",2003
Indian Babu,Lawrence D'Souza,"Jaz Pandher, Gurleen Chopra, Johnny Lever",2003
Inteha,Vikram Bhatt,"Ashmit Patel, Vidya Malvade, Anup Soni, Nauheed Cyrusi",2003
Ishq Vishk,Ken Ghosh,"Shahid Kapoor, Amrita Rao, Vishal Malhotra, Satish Shah, Yash Tonk, Neelima Azeem",2003
Jaal: The Trap,Guddu Dhanoa,"Sunny Deol, Tabu, Reema Sen",2003
Jajantaram Mamantaram,Soumitra Ranade,Javed Jaffrey,2003
Janasheen,Feroz Khan,"Fardeen Khan, Celina Jaitley, Feroz Khan",2003
Jhankaar Beats,Sujoy Ghosh,"Juhi Chawla, Rahul Bose, Rinke Khanna, Kurush Deboo, Sanjay Suri, Riya Sen, Archana Puran Singh, Dinyar Contractor",2003
Jism,Anurag Basu,"Bipasha Basu, John Abraham, Gulshan Grover",2003
Jodi Kya Banayi Wah Wah Ramji,Raman Kumar,"Amar Upadhyay, Reema Sen",2003
Joggers Park,Anant Balani,"Victor Banerjee, Perizaad Zorabian, Hiten Tejwani",2003
Kagaar: Life on the Edge,N. Chandra,"Om Puri, Nandita Das, Amitabh Dayal",2003
Kahan Ho Tum,Vijay Kumar,"Sharman Joshi, Samir Soni, Sonu Sood, Ishitta Arun",2003
Kaise Kahoon Ke... Pyaar Hai,,Sunny Deol,2003
Kash Aap Hamare Hote,Ravindra Peepat,"Juhi Babbar, Sonu Nigam",2003
Khanjar: The Knife,Chander Sharma,"Sunil Shetty, Tabu",2003
Khel – No Ordinary Game,Yusuf Khan,"Sunil Shetty, Sunny Deol, Ajay Jadeja, Celina Jaitley",2003
Khushi,S. J. Suryah,"Fardeen Khan, Kareena Kapoor, Anup Soni, Amrish Puri, Sharat Saxena",2003
Khwahish,Govind Menon,"Mallika Sherawat, Himanshu Malik",2003
Kucch To Hai,Anurag Basu,"Tusshar Kapoor, Esha Deol, Natassha, Yash Tonk, Rishi Kapoor, Jeetendra, Moonmoon Sen, Johnny Lever",2003
Kuch Naa Kaho,Rohan Sippy,"Abhishek Bachchan, Aishwarya Rai, Arbaaz Khan",2003
Love at Times Square,,"Dev Anand, Moon Moon Sen, Heenee Kaushik",2003
Main Madhuri Dixit Banna Chahti Hoon,Chandan Arora,"Antara Mali, Rajpal Yadav",2003
Market,Jay Prakash,Manisha Koirala,2003
Mudda: The Issue,Saurabh Shukla,"Arya Babbar, Prashant Narayanan",2003
Mumbai Matinee,Anant Balani,"Rahul Bose, Perizaad Zorabian, Anusha Dhandekar, Vijay Raaz, Saurabh Shukla",2003
Mumbai Se Aaya Mera Dost,Apoorva Agnihotri,"Abhishek Bachchan, Lara Dutta",2003
Nayee Padosan,B. H. Tharun Kumar,"Mahek Chahal, Vikas Kalantri, Anuj Sawhney",2003
Om,Ashok Honda,"Attin Bhalla, Sandali Sinha, Pankaj Dheer, Sharat Saxena",2003
Oops!,Deepak Tijori,"Kiran Janjani, Vikas Sethi, Mink Brar, Mita Vashisht",2003
Out of Control,"Apurva Asrani, Ramanjit Juneja","Ritesh Deshmukh, Hrishita Bhatt, Brande Roderick, Amrish Puri",2003
Paap,Pooja Bhatt,"John Abraham, Udita Goswami, Gulshan Grover",2003
Parwana,Deepak Bahry,"Ajay Devgn, Amisha Patel, Pooja Batra",2003
Patth,,"Milind Gunaji, Sharad Kapoor, Nirmal Pandey, Payal Rohatgi, Hyder Kazmi",2003
Pinjar,Chandrakant Dwivedi,"Urmila Matondkar, Manoj Bajpai, Sanjay Suri, Priyanshu Chatterjee, Isha Koppikar",2003
The Pink Mirror,Sridhar Rangayan,,2003
Praan Jaye Par Shaan Na Jaye,Sanjay Manjrekar,"Aman Verma, Rinke Khanna, Vivek Shauq, Raveena Tandon, Namrata Shirodkar, Dia Mirza",2003
Raghu Romeo,Rajat Kapoor,"Vijay Raaz, Sadiya Siddiqui",2003
Raja Bhaiya,Raman Kumar,"Govinda, Aarti Chhabria",2003
"Right Here, Right Now",Anand Gandhi,,2003
Rules: Pyaar Ka Superhit Formula,Parvati Balagopalan,Milind Soman,2003
Saaya,Anurag Basu,"John Abraham, Tara Sharma, Mahima Chaudhry",2003
Samay: When Time Strikes,Robby Grewal,"Sushmita Sen, Jackie Shroff, Sushant Singh",2003
Satta,Madhur Bhandarkar,Raveena Tandon,2003
Sssshhh...,Pawan S. Kaul,"Karan Nath, Dino Morea, Tanishaa Mukerji",2003
Stumped,Gaurav Pandey,,2003
Supari,,"Uday Chopra, Namrata Shirodkar",2003
Tada,Sisir. P. Mishra,"Monica Bedi, Sharad Kapoor",2003
Talaash: The Hunt Begins...,Suneel Darshan,"Akshay Kumar, Kareena Kapoor",2003
Tehzeeb,Khalid Mohamed,"Urmila Matondkar, Shabana Azmi, Arjun Rampal, Rishi Kapoor, Diya Mirza, Namrata Shirodkar",2003
Tere Naam,Satish Kaushik,"Salman Khan, Bhoomika Chawla, Sarfaraz Khan",2003
The Perfect Husband,Priya Singh Paul,"Parvin Dabas, Neha Dubey, Rajeshwari Sachdev",2003
Tujhe Meri Kasam,K. Vijaya Bhaskar,"Riteish Deshmukh, Genelia D'Souza",2003
Tumse Milke Wrong Number,Jignesh M. Vaishav,Tinnu Anand,2003
Waisa Bhi Hota Hai Part II,Shashanka Ghosh,"Arshad Warsi, Sandhya Mridul, Prashant Narayanan",2003
Xcuse Me,N. Chandra,"Sahil Khan, Sharman Joshi, Payal Rohatgi",2003
Yeh Dil,Teja,"Tusshar Kapoor, Natassha, Akhilendra Mishra, Sharat Saxena",2003
Zameen,Rohit Shetty,"Ajay Devgn, Abhishek Bachchan, Bipasha Basu",2003
Zinda Dil,,"Abbas, Ashima Bhalla, Om Puri, Sharad Kapoor, Gulshan Grover, Johnny Lever",2003
Veer-Zaara,,,2004
Main Hoon Na,,,2004
Dhoom,,,2004
Mujhse Shaadi Karogi,,,2004
Khakee,,,2004
Hum Tum,,,2004
Swades,,,2004
Masti,,,2004
Hulchul,,,2004
Aitraaz,,,2004
Ishq Hai Tumse,G. Krishna,"Bipasha Basu, Dino Morea",2004
Chameli,Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Kabir Sadanand, Rinke Khanna",2004
Paisa Vasool,Srinivas Bhashyam,"Manisha Koirala, Sushmita Sen, Sushant Singh, Tinu Anand, Makrand Deshpande",2004
Plan,Hriday Shetty,"Sanjay Dutt, Priyanka Chopra, Dino Morea, Sanjay Suri, Riya Sen, Rohit Roy, Sameera Reddy",2004
Ek Hasina Thi,Sriram Raghavan,"Saif Ali Khan, Urmila Matondkar, Murli Sharma, Seema Biswas, Pratima Kazmi, Rasika Joshi",2004
Aetbaar,Vikram Bhatt,"Amitabh Bachchan, Bipasha Basu, John Abraham, Tom Alter, Ali Asgar",2004
Maqbool,Vishal Bhardwaj,"Tabu, Pankaj Kapoor, Irrfan Khan, Moushumi Chatterjee, Om Puri",2004
Paap,Pooja Bhatt,"John Abraham, Udita Goswami, Bikramjeet Kanwarpal, Gulshan Grover, Mohan Agashe, Anahita Uberoi",2004
Agnipankh,Sanjeev Puri,"Jimmy Shergill, Rahul Dev, Divya Dutta, Shamita Shetty",2004
Aabra Ka Daabra,Dheeraj Kumar,"Hansika Motwani, Shweta Tiwari, Vishal Lalwani, Archana Puran Singh",2004
Aan: Men at Work,Madhur Bhandarkar,"Akshay Kumar, Sunil Shetty, Shatrughan Sinha, Irrfan Khan, Paresh Rawal, Jackie Shroff, Lara Dutta, Raveena Tandon",2004
Ab... Bas!,Rajesh Singh,"Diana Hayden, Shawar Ali, Rohit Roy",2004
Ab Tak Chappan,Shimit Amin,"Nana Patekar, Mohan Agashe, Revathi, Prasad Purandare, Hrishitaa Bhatt",2004
Ab Tumhare Hawale Watan Saathiyo,Anil Sharma,"Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar, Sandali Sinha",2004
AK-47,Raam Shetty,"Aditya Singh, Sheetal Bhavishi, Om Puri, Shivaji Satam, Ashish Vidyarthi",2004
Asambhav,Rajiv Rai,"Arjun Rampal, Priyanka Chopra, Arif Zakaria, Naseeruddin Shah",2004
Bardaasht,E.Nivas,"Bobby Deol, Lara Dutta, Ritesh Deshmukh, Rahul Dev, Virendra Saxena, Raju Kher",2004
Bhola in Bollywood,Sumbul Gazi,"Ali Asgar, Siraj Khan, Avtar Gill, Raj Babbar",2004
Chand Bujh Gaya,Sharique Minhaj,"Faisal Khan, Shama Sikander, Aliza",2004
Charas,Tigmanshu Dhulia,"Jimmy Shergill, Irrfan Khan, Uday Chopra, Hrishita Bhatt, Namrata Shirodkar",2004
Deewaar,Milan Luthria,"Amitabh Bachchan, Sanjay Dutt, Akshaye Khanna, Kay Kay Menon, Amrita Rao",2004
Dev,Govind Nihalani,"Amitabh Bachchan, Fardeen Khan, Kareena Kapoor, Rati Agnihotri, Om Puri, Amrish Puri",2004
Dil Bechara Pyaar Ka Maara,Omkarnath Mishra,"Vikas Kalantri, Aslam Khan, Divya Palat, Rajpal Yadav, Mallika Kapoor",2004
Dil Maange More,Anant Mahadevan,"Shahid Kapoor, Ayesha Takia, Soha Ali Khan, Tulip Joshi, Kanwaljit Singh, Gulshan Grover",2004
Dil Ne Jise Apna Kahaa,Atul Agnihotri,"Salman Khan, Preity Zinta, Bhumika Chawla",2004
Dobara,Shashi Ranjan,"Raveena Tandon, Jackie Shroff, Mahima Chaudhry",2004
Dukaan,Iqbal Durrani,"Vikas Kalantri, Rambha, Rati Agnihotri",2004
Ek Se Badhkar Ek,Kundan Shah,"Suniel Shetty, Raveena Tandon, Isha Koppikar",2004
Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma",2004
Garv,Puneet Issar,"Salman Khan, Shilpa Shetty, Anupam Kher, Arbaaz Khan, Mukesh Rishi, Amrish Puri",2004
Gayab,Prawal Raman,"Tusshar Kapoor, Antara Mali, Raghubir Yadav",2004
Girlfriend,Karan Razdan,"Amrita Arora, Isha Koppikar, Aashish Chaudhary",2004
Hatya,Kader Kashmiri,"Akshay Kumar, Navin Nischol, Reema Lagoo, Varsha Usgaonkar",2004
Hava Aney Dey,Partho Sen-Gupta,"Nishikant Kamat, Tannishtha Chatterjee, Rajshree Thakur",2004
Hawas,Karan Razdan,"Shawar Ali, Meghna Naidu, Tarun Arora",2004
Hyderabad Blues 2,Nagesh Kukunoor,"Tisca Chopra, Elahe Hiptoola, Jyoti Dogra, Vikram Inamdar, Anu Chengappa",2004
I Proud to Be an Indian,Puneet Issar,"Sohail Khan, Gulzar Inder Chahal, Puneet Issar, Tim Lawrence",2004
Insaaf: The Justice,Shrey Srivastava,"Dino Morea, Namrata Shirodkar, Sanjay Suri, Henna, Rajpal Yadav",2004
Inteqam: The Perfect Game,Pankaj Parashar,"Nethra Raghuraman, Manoj Bajpai, Isha Koppikar",2004
Jaago,Mrhul Kumar,"Manoj Bajpayee, Sanjay Kapoor, Raveena Tandon, Hansika Motwani",2004
Julie,Deepak Shivdasani,"Neha Dhupia, Yash Tonk, Sanjay Kapoor, Priyanshu Chatterjee",2004
Kaash... Hamara Dil Pagal Na Hota,Mangal Anand,"Mukesh Ahuja, Chetan Aneja, Nigel Borade",2004
Kaun Hai Jo Sapno Mein Aaya,Rajesh Bhatt,"Anupam Kher, Richa Pallod, Rakesh Bapat, Kader Khan, Rajesh Bhatt",2004
Kaya Taran,Sashi Kumar,"Seema Biswas, Angad Bedi, Neelambari Bhattacharya, Neeta Mohindra",2004
Khamosh Pani,Sabiha Kumar,"Kirron Kher, Amar Ali Malik",2004
King of Bollywood,Piyush Jha,"Om Puri, Sophie Dahl, Kavita Kapoor",2004
Kis Kis Ki Kismat,Govind Menon,"Dharmendra, Mallika Sherawat, Rati Agnihotri, Satish Shah",2004
Kismat,Guddu Dhanoa,"Priyanka Chopra, Bobby Deol",2004
Kiss Kis Ko,Sharad Sharan,"Karan Oberoi, Sudhanshu Pandey, Sherrin Varghese, Siddharth Haldipur, Chaitnya Bhosale",2004
Krishna Cottage,Santram Varma,"Sohail Khan, Isha Koppikar, Natassha",2004
Kyun! Ho Gaya Na...,Samir Karnik,"Vivek Oberoi, Aishwarya Rai, Amitabh Bachchan, Sunil Shetty, Diya Mirza, Rati Agnihotri, Arjun Mathur, Kajal Aggarwal",2004
Lakeer – Forbidden Lines,Ahmed Khan,"Sunil Shetty, Sunny Deol, Sohail Khan, John Abraham, Nauheed Cyrusi, Apoorva Agnihotri",2004
Lakshya,Farhan Akhtar,"Amitabh Bachchan, Hrithik Roshan, Preity Zinta, Lillete Dubey, Kushal Punjabi, Amrish Puri, Om Puri, Sharad Kapoor",2004
Let's Enjoy,"Ankur Tewari, Siddharth Anand Kumar","Shomendra Bose, Aashish Chaudhary, Roshni Chopra, Arzoo Govitrikar, Shiv Panditt, Sahil Gupta, Dhruv Jagasiya",2004
Madhoshi,Tanveer Khan,"Bipasha Basu, John Abraham, Priyanshu Chatterjee",2004
Meenaxi: A Tale of Three Cities,M. F. Hussain,"Tabu, Kunal Kapoor, Rajpal Yadav, Nadira Babbar",2004
"Meri Biwi Ka Jawaab Nahin (Delayed film, originally produced in 1994)","S. M. Iqbal, Pankaj Parashar","Sridevi, Akshay Kumar",2004
Morning Raga,Mahesh Dattan,"Shabana Azmi, Perizaad Zorabian",2004
Murder,Anurag Basu,"Emraan Hashmi, Ashmit Patel, Mallika Sherawat",2004
Musafir,Sanjay Gupta,"Anil Kapoor, Sanjay Dutt, Sameera Reddy, Aditya Pancholi, Koena Mitra, Mahesh Manjrekar",2004
Muskaan,"Rohit Nayyar, Rohit Manash","Aftab Shivdasani, Gracy Singh, Parvin Dabas, Kader Khan, Anupam Kher",2004
Mysteries Shaque,"Vinod Chhabara,","Janki Shah, Quber Chauhan, Prem Chopra, Upasana Singh, Aarti Puri",2004
Naach,Ram Gopal Varma,"Antara Mali, Abhishek Bachchan, Ritesh Deshmukh",2004
Netaji Subhas Chandra Bose: The Forgotten Hero,Shyam Benegal,"Sachin Khedekar, Kulbhushan Kharbanda, Rajit Kapur, Arif Zakaria, Divya Dutta",2004
Phir Milenge,Revathy,"Nassar, Shilpa Shetty, Salman Khan, Abhishek Bachchan, Revathi",2004
Police Force: An Inside Story,Dilip Shukla,"Akshay Kumar, Raveena Tandon, Raj Babbar, Amrish Puri, S. M. Zaheer, Mohan Joshi",2004
Popcorn Khao! Mast Ho Jao,Kabir Sadanand,"Akshay Kapoor, Tanisha, Yash Tonk, Reshmi Nigam",2004
Raincoat,Rituparno Ghosh,"Ajay Devgn, Aishwarya Rai",2004
Rakht,Mahesh Manjrekar,"Sunil Shetty, Neha Dhupia, Abhishek Bachchan, Dino Morea, Himanshu Malik, Amrita Arora, Bipasha Basu, Sanjay Dutt",2004
Rok Sako To Rok Lo,Arindam Chowdhury,"Sunny Deol, Yash Pandit",2004
Rudraksh,Mani Shankar,"Suniel Shetty, Sanjay Dutt, Bipasha Basu, Isha Koppikar",2004
Run,Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Vijay Raaz, Ayesha Jhulka, Mahesh Manjrekar",2004
Shaadi Ka Laddoo,Raj Kaushal,"Sanjay Suri, Mandira Bedi, Divya Dutta, Aashish Chaudhary",2004
Shart: The Challenge,Puri Jagannadh,"Tusshar Kapoor, Gracy Singh, Amrita Arora",2004
Sheen,Ashok Pandit,"Tarun Arora, Raj Babbar, Anoop Soni, Kiran Juneja",2004
Shikaar,Darshan Bagga,"Kanishka Sodhi, Jas Pandher",2004
Shukriya: Till Death Do Us Apart,Anupam Sinha,"Anupam Kher, Aftab Shivdasani, Shriya Saran",2004
Silence Please...The Dressing Room,Sanjay Srinivas,"Salil Ankola, Sonali Kulkarni, Tom Alter",2004
Stop!,Ajai Sinha,"Gauri Karnik, Ishitta Arun, Rocky Bhatia, Tejaswini Kolhapure, Kiran Jhanjhani, Harsh Chhaya, Ali Asgar, Dia Mirza",2004
Suno Sasurjee,Vimal Kumar,"Aftab, Ameesha Patel",2004
Taarzan: The Wonder Car,Abbas Mustan,"Vatsal Seth, Ayesha Takia, Pankaj Dheer, Ajay Devgn",2004
Tauba Tauba,T L V Prasad,"Payal Rohatgi, Antara Biswas, Amin Gazi",2004
Thoda Tum Badlo Thoda Hum,Esmayeel Shroff,"Arya Babbar, Shriya Saran, Ashok Saraf",2004
Tumsa Nahin Dekha: A Love Story,Anurag Basu,"Emraan Hashmi, Diya Mirza",2004
Uuf Kya Jaadoo Mohabbat Hai,Manoj J. Bhatia,"Sammir Dattani, Pooja Kanwal, Sandhya Mridul, Akshay Anand",2004
Vaastu Shastra,Saurab Narang,"J. D. Chakravarthy, Ahsaas Channa, Vicky Ahuja, Sushmita Sen",2004
Wajahh: A Reason to Kill,Gautama Adhikari,"Arbaaz Khan, Shamita Shetty, Gracy Singh",2004
Woh,Raj N. Sippy,"Priyanshu Chatterjee, Cleo Issacs, Shahbaz Khan",2004
"Yeh Lamhe Judaai Ke (Delayed film, originally produced in 1994)",Birendra Nath Tiwary,"Shahrukh Khan, Raveena Tandon, Mohnish Bahl, Rashmi Desai, Amit Kumar, Navneet Nishan",2004
Yuva,Mani Ratnam,"Ajay Devgn, Abhishek Bachchan, Vivek Oberoi, Rani Mukherji, Kareena Kapoor, Esha Deol",2004
No Entry,,,2005
Bunty Aur Babli,,,2005
Salaam Namaste,,,2005
Black,,,2005
Garam Masala,,,2005
Mangal Pandey: The Rising,,,2005
Maine Pyaar Kyun Kiya?,,,2005
Waqt: The Race Against Time,,,2005
Sarkar,,,2005
Dus,,,2005
Rog,Himanshu Brahmbhatt,"Irrfan Khan, Himanshu Malik, Ilene Hamann",2005
Vaada,Satish Kaushik,"Arjun Rampal, Ameesha Patel, Zayed Khan",2005
Elaan,Vikram Bhatt,"Arjun Rampal, Ameesha Patel, Mithun Chakraborty, John Abraham, Lara Dutta",2005
Insan,K. Subash,"Akshay Kumar, Ajay Devgn, Lara Dutta, Esha Deol, Tusshar Kapoor, Koena Mitra, Rahul Dev",2005
Kisna: The Warrior Poet,Subhash Ghai,"Vivek Oberoi, Isha Sharvani, Ronit Roy, Amrish Puri, Sushmita Sen, Rajat Kapoor",2005
Page 3,Madhur Bhandarkar,"Konkona Sen Sharma, Atul Kulkarni, Tara Sharma, Sandhya Mridul",2005
Blackmail,Anil Devgan,"Suniel Shetty, Ajay Devgn, Priyanka Chopra, Dia Mirza",2005
Padmashree Laloo Prasad Yadav,Mahesh Manjrekar,"Sunil Shetty, Mahesh Manjrekar, Kim Sharma, Gulshan Grover, Johnny Lever",2005
Bullet: Ek Dhamaka,Irfan Khan,"Iqbal Khan, Asseem Merchant, Asad Sikandar, Saadhika",2005
Shabd,Leena Yadav,"Sanjay Dutt, Aishwarya Rai, Zayed Khan",2005
Tezaab – The Acid of Love,Shakeel Noorani,"Mighty Khan, Parvin Dabas, Shruti Sharma",2005
Chaahat – Ek Nasha,Jai Prakash,"Manisha Koirala, Aryan Vaid, Preeti Jhangiani",2005
Hum Dum,Kushan Nandy,"Anjana Sukhani, Romit Raj, Ranvir Shorey",2005
Sheesha,Ashu Trikha,"Neha Dhupia, Sonu Sood",2005
Chehraa,Saurabh Shukla,"Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan",2005
Jurm,Vikram Bhatt,"Bobby Deol, Milind Soman, Lara Dutta",2005
Bewafaa,Dharmesh Darshan,"Akshay Kumar, Sushmita Sen, Kareena Kapoor, Shamita Shetty, Anil Kapoor, Manoj Bajpai",2005
Fun – Can Be Dangerous Sometimes,Sunjay Zaveri,"Aryan Vaid, Hina Rehman, Siddharth Koirala, Payal Rohatgi",2005
Nigehbaan: The Third Eye,Dilip Shankar,"Sameer Dharmadhikari, Sandali Sinha, Sayaji Shinde, Govind Namdev",2005
Chand Sa Roshan Chehra,Shabah Shamsi,"Samir Aftab, Tamanna Bhatia, Talat Aziz, Kiran Kumar",2005
Socha Na Tha,Imtiaz Ali,"Ayesha Takia, Abhay Deol, Ayesha Jhulka",2005
Zameer: The Fire Within,Kamal,"Ajay Devgn, Ameesha Patel, Mahima Chaudhry",2005
Karam,Sanjay F. Gupta,"John Abraham, Priyanka Chopra, Murli Sharma, Shiney Ahuja",2005
Classic – Dance of Love,Babbar Subhash,"Mithun Chakraborty, Meghna Naidu, Vikas Bhardwaj",2005
My Brother... Nikhil,Onir,"Purab Kohli, Juhi Chawla, Sanjay Suri",2005
Tango Charlie,Mani Shankar,"Ajay Devgn, Bobby Deol, Tanisha, Nandana Sen, Sanjay Dutt, Sunil Shetty",2005
Zeher,Mohit Suri,"Shamita Shetty, Emraan Hashmi, Udita Goswami",2005
Jackpot,Samit Baadkar,"Meghna Naidu, Himanshu Malik",2005
Lucky: No Time for Love,Radhika Rao Vinay Sapru,"Salman Khan, Mithun Chakraborty, Sneha Ullal",2005
Naam Gum Jaayega,Amol Shetge,"Aryan Vaid, Rakesh Bapat, Dia Mirza, Divya Dutta",2005
Hazaaron Khwaishein Aisi,Sudhir Mishra,"Shiney Ahuja, Chitrangada Singh, Saurabh Shukla, Kay Kay Menon, Ram Kapoor, Gajraj Rao, Arif Zakaria, Yusuf Hussain",2005
Khamoshh... Khauff Ki Raat,Deepak Tijori,"Shilpa Shetty, Juhi Chawla",2005
Kuchh Meetha Ho Jaye,Samar Khan,"Arshad Warsi, Mahima Chaudhry, Shah Rukh Khan, Ashwin Mushran, Parvin Dabas, Sandhya Mridul",2005
Mumbai Xpress,Singeetam Srinivasa Rao,"Kamal Haasan, Manisha Koirala, Om Puri, Vijay Raaz",2005
Dreams,Ashish Chanana,"Aashish Chanana, Neha Pendse, Arzoo Govitrikar, Manoj Bidwani",2005
Khullam Khulla Pyaar Karen,Harmesh Malhotra,"Govinda, Preity Zinta",2005
Kaal,Soham Shah,"Ajay Devgn, John Abraham, Vivek Oberoi, Lara Dutta, Vishal Malhotra, Esha Deol, Shahrukh Khan, Kushal Punjabi, Malaika Arora, Parmeet Sethi",2005
Revati,Farogh Siddique,"Kashmera Shah, Kiran, Ayub Khan, Shreyas Talpade, Alok Nath",2005
Kyaa Kool Hai Hum,Sangeeth Sivan,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar, Neha Dhupia, Rajpal Yadav, Anupam Kher",2005
Main Aisa Hi Hoon,Harry Baweja,"Ajay Devgn, Sushmita Sen, Esha Deol",2005
Jo Bole So Nihaal,Rahul Rawail,"Sunny Deol, Thomas Tevana, Kamaal Khan, Shillpi Sharma",2005
Naina,Shripal Morakhia,"Anuj Sawhney, Urmila Matondkar, Dinesh Lamba",2005
Shabnam Mausi,,Ashutosh Rana,2005
D,Ram Gopal Varma,"Randeep Hooda, Chunky Pandey, Isha Koppikar",2005
Koi Mere Dil Mein Hai,Deepak Ramsay,"Priyanshu Chatterjee, Dia Mirza, Rakesh Bapat, Neha",2005
Time Pass,,"Arjun Punj, Sherlyn Chopra",2005
Parineeta,Pradeep Sarkar,"Sanjay Dutt, Saif Ali Khan, Vidya Balan, Dia Mirza, Raima Sen",2005
99.9 FM,Sanjay Bhatia,"Shawar Ali, Raima Sen, Dipannita Sharma",2005
Bachke Rehna Re Baba,Govind Menon,"Rekha, Mallika Sherawat, Paresh Rawal, Karan Khanna, Satish Shah",2005
Silsiilay,Khalid Mohamed,"Tabu, Bhumika Chawla, Riya Sen, Rahul Bose, Jimmy Shergill, Divya Dutta, Kay Kay Menon, Celina Jaitly, Natassha, Ashmit Patel",2005
Ssukh,Kirti Ahuja,"Govinda, Preeti Jhangiani",2005
Chetna: The Excitement,Partho Ghosh,"Jatin Grewal, Payal Rohatgi, Navneet Kaur",2005
Pehchaan: The Face of Truth,Shrabani Deodhar,"Vinod Khanna, Raveena Tandon, Rati Agnihotri",2005
Paheli,Amol Palekar,"Shah Rukh Khan, Rani Mukerji, Anupam Kher, Juhi Chawla, Sunil Shetty, Amitabh Bachchan, Rajpal Yadav, Naseeruddin Shah, Ratna Pathak Shah",2005
Amavas,Sidharth Srinivasan,"Konkona Sen Sharma, Victor Banerjee",2005
Yakeen,Girish Dhamija,"Arjun Rampal, Priyanka Chopra, Anang Desai, Ankur Nayyar, Kim Sharma",2005
Fareb,Deepak Tijori,"Shilpa Shetty, Manoj Bajpai, Shamita Shetty",2005
Double Cross - Ek Dhoka,Vicky Tejwani,"Sahil Khan, Negar Khan, Ayesha Jhulka",2005
Mashooka,Afzal Ahmed,"Aditya Bal, Meghna Naidu",2005
Mazaa Mazaa,T. L. V. Prasad,"Payal Rohatgi, Farid Amiri, Shivani Singh, Pankaj Beri",2005
Hum Tum Aur Mom,Ashok Nanda,"Mohnish Bahl, Sonali Goswami, Mushtaq Khan, Tiku Talsania, Reema Lagoo, Krishna Abhishek",2005
Kasak,Rajiv Babbar,"Lucky Ali, Meera",2005
Viruddh... Family Comes First,Mahesh Manjrekar,"Amitabh Bachchan, Sharmila Tagore, Prem Chopra, John Abraham, Anusha Dandekar, Sanjay Dutt, Tanvi Hegde, Tom Alter",2005
7½ Phere,Ishaan Trvedi,"Manoj Pahwa, Juhi Chawla, Irrfan Khan, Chahat Khanna, Anang Desai",2005
Sehar,Kabeer Kaushik,"Arshad Warsi, Mahima Chaudhry, Rajendra Gupta, Sushant Singh, Suhasini Mulay, Naved Aslam",2005
Yahaan,Shoojit Sircar,"Jimmy Shergill, Minissha Lamba",2005
Film Star,Tanuja Chandra,"Mahima Chaudhry, Priyanshu Chatterjee, Vasundhara Das Anup Shukla",2005
White Rainbow,Dharan Mandrayar,"Sonali Kulkarni, Amardeep Jha, Shameen Shaikh, Amruta Subhash",2005
Barsaat,Suneel Darshan,"Bobby Deol, Bipasha Basu, Priyanka Chopra, Shakti Kapoor",2005
My Wife's Murder,Jijy Philip,"Anil Kapoor, Suchitra Krishnamoorthi, Nandana Sen, Boman Irani",2005
Bhagmati,Ashok Kaul,"Milind Soman, Mahima Chaudhry, Tabu, Ashok Kaul",2005
Iqbal,Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah",2005
Aashiq Banaya Aapne,Aditya Datt,"Emraan Hashmi, Tanushree Dutta, Navin Nischol, Sonu Sood",2005
Dansh,Kanika Verma,"Kay Kay Menon, Sonali Kulkarni",2005
Pyaar Mein Twist,Hriday Shetty,"Rishi Kapoor, Dimple Kapadia, Vikas Bhalla, Sameer Dattani, Soha Ali Khan",2005
Ramji Londonwale,Sanjay Dayma,"Madhavan, Samita Bangargi",2005
Jalwa - Fun in Love,Rajiv S. Ruia,"Kiran Janjani, Monalisa, Viraaj, Neha Bhatt",2005
Topless,,"Shweta Menon, Tarun Khanna, Sardar Sohi",2005
Water,Deepa Mehta,"Seema Biswas, Lisa Ray, John Abraham, Sarala Kariyawasam, Manorama",2005
