Movies,Director,Actors,Year
Mere Yaar Ki Shaadi Hai,Sanjay Gadhvi,"Uday Chopra, Bipasha Basu, Tulip Joshi, Jimmy Shergill, Nitesh Pandey, Tannaz Irani",2002
"Mitr, My Friend",Revathi,"Shobhana, Matt Phillips",2002
Mohabbat Ho Gayi Hai Tumse,Rishi Talwar,"Sanjay Dutt, Shamita Shetty, Chandrachur Singh",2002
Mulaqaat,K. Ravi Shankar,"Vinay Anand, Arun Bakshi, Rita Bhaduri, Milind Gunaji",2002
Na Tum Jaano Na Hum,Arjun Sablok,"Saif Ali Khan, Hrithik Roshan, Esha Deol, Ashima Bhalla, Shilpa Saklani, Alok Nath",2002
Nishad,Shaji N. Karun,,2002
Om Jai Jagadish,Anupam Kher,"Waheeda Rehman, Parmeet Sethi, Anil Kapoor, Fardeen Khan, Abhishek Bachchan, Mahima Chaudhry, Urmila Matondkar, Lillete Dubey, Tara Sharma",2002
Pitaah,Mahesh Manjrekar,"Sanjay Dutt, Nandita Das, Salil Ankola, Jackie Shroff, Om Puri, Shivaji Satam",2002
Pyaar Diwana Hota Hai,Kirti Kumar,"Govinda, Rani Mukerji, Deepak Tijori, Apurva Agnihotri",2002
Pyar Ki Dhun,Samarjit Dasgupta,,2002
Pyaasa,A. Muthu,"Yukta Mookhey, Aftab Shivdasani",2002
Reshma Aur Sultan,S. Kumar,"Dharmendra, Ankush Mohit, Sapna, Hemant Birje, Satnam Kaur",2002
Rishtey,Indra Kumar,"Anil Kapoor, Karisma Kapoor, Shilpa Shetty",2002
Road,Rajat Mukherjee,"Vivek Oberoi, Antara Mali, Manoj Bajpai, Vijay Raaz, Rajpal Yadav",2002
Shaheed-E-Azam,Sukumar Nair,"Sonu Sood, Raj Zutshi, Dev Gill",2002
Shakti - The Power,Boney Kapoor,"Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Shahrukh Khan",2002
Shararat,Gurudev Bhalla,"Abhishek Bachchan, Hrishita Bhatt, Mohnish Bahl, Amrish Puri",2002
Soch,Sushen Bhatnagar,"Sanjay Kapoor, Arbaaz Khan, Raveena Tandon, Danny Denzongpa, Aditi Govitrikar",2002
Sur: The Melody of Life,Tanuja Chandra,"Lucky Ali, Gauri Karnik, Harsh Vashisht, Simone Singh, Nitin",2002
The Legend of Bhagat Singh,Rajkumar Santoshi,"Ajay Devgn, Amrita Rao, Raj Babbar, Sushant Singh",2002
Tumko Na Bhool Paayenge,Pankaj Parashar,"Salman Khan, Dia Mirza, Sushmita Sen, Inder Kumar, Arbaaz Khan",2002
Tum Se Achcha Kaun Hai,Deepak Anand,"Nakul Kapoor, Rati Agnihotri, Kim Sharma, Aarti Chabria, Ali Asgar",2002
Waah! Tera Kya Kehna,Manoj Agrawal,"Govinda, Raveena Tandon, Preeti Jhangiani",2002
Yeh Dil Aashiqanaa,Kuku Kohli,"Karan Nath, Jividha Sharma",2002
Yeh Hai Jalwa,David Dhawan,"Rishi Kapoor, Salman Khan, Amisha Patel, Rinke Khanna, Rati Agnihotri, Sanjay Dutt, Anupam Kher",2002
Yeh Kaisi Mohabbat,Dinkar Kapur,"Deepak Tijori, Viveka Babajee, Krishna Abhishek, Mukesh Rishi",2002
Yeh Kya Ho Raha Hai?,Hansal Mehta,"Prashant Chianani, Aamir Ali, Vaibhav Jhalani, Yash Pandit, Payal Rohatgi",2002
Yeh Mohabbat Hai,Umesh Mehra,"Rahul Bhatt, Johnny Lever",2002
Zindagi Khoobsoorat Hai,Manoj Punj,"Gurdas Maan, Tabu, Divya Dutta, Rajat Kapoor",2002
Kal Ho Naa Ho,,,2003
Koi... Mil Gaya,,,2003
The Hero: Love Story of a Spy,,,2003
Chalte Chalte,,,2003
Baghban,,,2003
Munna Bhai M.B.B.S.,,,2003
Main Prem Ki Diwani Hoon,,,2003
LOC: Kargil,,,2003
Andaaz,,,2003
Qayamat: City Under Threat,,,2003
02-Oct,Sunil Tiwari,"Ashutosh Rana, Sharat Saxena, Saadhika Randhawa, Mukesh Tiwari",2003
3 Deewarein,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla",2003
88 Antop Hill,Kushan Nandy,"Rahul Dev, Shweta Menon, Harsh Khurana, Atul Kulkarni",2003
Aaj Ka Andha Kanoon,Amit Chandra Sahay,Sudesh Berry,2003
Aanch,Rajesh Kumar Singh,"Nana Patekar, Paresh Rawal",2003
Aapko Pehle Bhi Kahin Dekha Hai,Anubhav Sinha,"Priyanshu Chatterjee, Sakshi Shivanand, Manoj Pahwa, Om Puri, Farida Jalal",2003
Armaan,Honey Irani,"Amitabh Bachchan, Anil Kapoor, Preity Zinta, Gracy Singh, Randhir Kapoor, Aamir Bashir",2003
Baaz: A Bird in Danger,Tinu Verma,"Sunil Shetty, Karisma Kapoor, Dino Morea, Preeti Jhangiani, Jackie Shroff",2003
Bas Yun Hi,Raja Menon,"Nandita Das, Purab Kohli, Sameer Malhotra, Sandhya Shetty",2003
Basti,Basharat Khan,"Samir Soni, Faisal Khan",2003
Bhoot,Ram Gopal Varma,"Urmila Matondkar, Ajay Devgn, Rekha, Nana Patekar, Fardeen Khan",2003
